"politician_name";"party_name_short";"party_name";"lrgen";"lrecon";"galtan"
"lilian marijnissen";"SP";"Socialistische Partij";1.1666666;1.3333334;4.6666665
"rob jetten";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"mark rutte";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"jeroen van wijngaarden";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"ruben brekelmans";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"eric van der burg";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"peter omtzigt";"NSC";"New Social Contract";6.5833335;6.0;6.6666665
"rené peters";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"wopke hoekstra";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"eddy van hijum";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"geert wilders";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"dilan yesilgöz";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"hugo de jonge";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"frans timmermans";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"liesje schreinemacher";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"alexander hammelburg";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"roelof bisschop";"SGP";"Staatkundig Gereformeerde Partij";8.0;7.1999998;9.416667
"agnes jongerius";"GL-PvdA";"GroenLinks–PvdA";2.840909090909091;2.784090931818182;2.053030287727273
"sigrid kaag";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"robbert dijkgraaf";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"anne koning";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"mona keijzer";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"henk vermeer";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"khadija arib";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"marijke van beukering-huijbregts";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"tineke strik";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"sophie hermans";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"wouter kolff";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"annabel nanninga";"FvD";"Forum voor Democratie";9.833333;8.8000002;9.833333
"toine beukering";"JA21";"Juiste Antwoord21";9.833333;8.8;9.833333
"mark harbers";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"christophe van der maat";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"carola schouten";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"aukje de vries";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"ben knapen";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"thierry baudet";"FvD";"Forum voor Democratie";9.833333;8.8000002;9.833333
"ahmed aboutaleb";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"dennis wiersma";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"kajsa ollongren";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"micky adriaansens";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"hans vijlbrief";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"karien van gennip";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"christianne van der wal";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"liesbeth spies";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"songül mutluer";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"ernst kuipers";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"ank bijleveld";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"vera bergkamp";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"nico drost";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"maarten van ooijen";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"jan anthonie bruijn";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"paul van meenen";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"hamit karakus";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"anton ederveen";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"conny helder";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"franc weerwind";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"tunahan kuzu";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"mustafa amhaouch";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"peter heijkoop";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"steven van weyenberg";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"marnix van rij";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"laura bromet";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"liane den haan";"50PLUS";"50PLUS";"";"";""
"lars voskuil";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"koen schuiling";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"vivianne heijnen";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"alexandra van huffelen";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"piet adema";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"gunay uslu";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"lodewijk asscher";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"johan remkes";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"hubert bruls";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"wieke paulusma";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"sharon dijksma";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"jan pronk";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"kati piri";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"vincent karremans";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"faouzi achbar";"DENK";"DENK";3.8888888;3.5999999;6.2857141
"frank dales";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"caroline van der plas";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"maarten offinga";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"sjoerd sjoerdsma";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"don ceder";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"joost eerdmans";"JA21";"JA21";9.833333;8.8;9.833333
"teun heldens";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"jozias van aartsen";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"ankie broekers-knol";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"femke halsema";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"martin bosma";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"jasper van dijk";"SP";"Socialistische Partij";1.1666666;1.3333334;4.6666665
"rutger groot wassink";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"anne-marijke podt";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"jesse klaver";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"sylvana simons";"BIJ1";"BIJ1";1.5;2.272727;2.25
"yolanda hoogtanders";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"henk vredeling";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"fatihya abdi";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"jeroen lenaers";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"michiel hoogeveen";"JA21";"JA21";9.833333;8.8;9.833333
"madeleine van toorenburg";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"henri bontenbal";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"richard moti";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"klaas dijkhoff";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"gidi markuszower";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"sybrand buma";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"aboutaleb";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"henk kamp";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"mirjam bikker";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"malik azmani";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"hans broekhuizen";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"marcel delhez";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"eric wetzels";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"judith sargentini";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"bram van hemmen";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"hanke bruins";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"ada grootenboer-dubbelman";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"iris meerts";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"leon meijer";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"edi rama";"SP";"Socialistische Partij van Albanië";1.1666666;1.3333334;4.6666665
"harald bergmann";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"ellen van selm";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"joël voordewind";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"ingrid lambregts";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"marcel thijsen";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"derk alssema";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"jaap velema";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"jan paternotte";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"eric van oosterhout";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"herma hemmen";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"gert-jan segers";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"hilbert bredemeijer";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"ahmed marcouch";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"patrick van domburg";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"rob rooken";"JA21";"JA21";9.833333;8.8;9.833333
"paul rosenmöller";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"edgar mulder";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"thierry aartsen";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"roel wever";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"jolanda van hulst";"50PLUS";"50PLUS";"";"";""
"pieter jan mersie";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"dries van agt";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"stef blok";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"dilan yesilgoz";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"bert wijbenga";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"hans van mierlo";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"mpanzu bamenga";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"pim fortuyn";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"job cohen";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"marieke koekkoek";"Volt";"Volt Nederland";4.5454545;4.6999998;1.0909091
"fleur agema";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"frans weisglas";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"christiaan toussaint";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"eric van den burg";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"chris van dam";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"yuval gal";"BIJ1";"BIJ1";1.5;2.272727;2.25
"stephan van baarle";"DENK";"DENK";3.8888888;3.5999999;6.2857141
"gideon van meijeren";"FvD";"Forum voor Democratie";9.833333;8.8;9.833333
